feature,importance,importance_normalized
dti_ratio,4.498283967804537,0.6206939546425624
employment_type_Unemployed,0.6901112756199513,0.0952247345596177
credit_score,0.5455061581994008,0.0752714539673477
employment_type_Self-Employed,0.1631770549003721,0.022515922124514375
age_group,0.1541874499339778,0.021275494997814098
log_annual_income,0.13773362417619425,0.01900512028343544
loan_type_Personal,0.12556079755917046,0.017325457561789527
employment_type_Freelance,0.12365841560157924,0.017062958131129024
credit_score_tier,0.11627008881147015,0.016043482747545666
employment_type_Salaried,0.10761901006551679,0.014849767029022283
enquiries_last_6m,0.06076221457918263,0.008384250423034128
city_tier,0.05480496827954577,0.007562242121431493
employment_stability_ratio,0.053707608077088374,0.00741082330292078
total_accounts,0.04812949061560527,0.006641128945826087
emi_to_income_ratio,0.04627099257554996,0.006384684820369864
loan_type_Education,0.04091669729332243,0.005645874479173941
enquiry_velocity,0.03983093161234077,0.005496055526176049
gender_Female,0.031012345287619605,0.0042792263398853695
loan_to_income_ratio,0.03100393949336691,0.004278066469651752
education,0.029470101389207415,0.004066420418520643
interest_rate,0.02762744383672678,0.003812162036549394
annual_income,0.027538997646418456,0.0037999578235587373
loan_type_diversity,0.02072177568430418,0.002859286116386358
loan_term_months,0.020547721187625635,0.002835269274710741
loan_amount,0.019307410510114385,0.002664125490787826
is_secured,0.010931633414426304,0.0015083971628440055
verification_score,0.009497891638688399,0.0013105628644563589
total_exposure_to_income,0.005483751128805648,0.0007566732555737786
overdue_60_count,0.004136126559281647,0.0005707218062170627
interest_to_principal_ratio,0.0013925292078711903,0.00019214759832307716
utilization_bucket,0.0013915727914879995,0.00019201562758236438
delinquency_severity_score,0.0005890116177987879,8.127453780121809e-05
age,2.0836631181667112e-06,2.8751344072859275e-07
overdue_90_count,0.0,0.0
emi_amount,0.0,0.0
rate_tier,0.0,0.0
log_loan_amount,0.0,0.0
term_bucket,0.0,0.0
credit_utilization,0.0,0.0
has_serious_delinquency,0.0,0.0
credit_history_length_months,0.0,0.0
is_thin_file,0.0,0.0
active_accounts,0.0,0.0
active_account_ratio,0.0,0.0
income_per_dependent,0.0,0.0
dependents,0.0,0.0
overdue_30_count,0.0,0.0
employment_stability_ratio_is_missing,0.0,0.0
education_is_missing,0.0,0.0
total_loans,0.0,0.0
gender_Other,0.0,0.0
gender_Male,0.0,0.0
interest_rate_is_missing,0.0,0.0
enquiry_velocity_is_missing,0.0,0.0
credit_score_is_missing,0.0,0.0
enquiries_last_6m_is_missing,0.0,0.0
marital_status_Widowed,0.0,0.0
marital_status_Divorced,0.0,0.0
employment_type_Business,0.0,0.0
marital_status_Married,0.0,0.0
marital_status_Single,0.0,0.0
loan_type_Auto,0.0,0.0
loan_type_Credit Card,0.0,0.0
loan_type_Business,0.0,0.0
loan_type_Gold,0.0,0.0
loan_type_Home,0.0,0.0
