feature,importance,importance_normalized
emi_to_income_ratio,0.24807733071058688,0.24807733071058688
dti_ratio,0.24732046460880838,0.24732046460880838
credit_score,0.08390735024068476,0.08390735024068476
credit_score_tier,0.055791356994944384,0.055791356994944384
loan_to_income_ratio,0.05029993793847226,0.05029993793847226
loan_type_Business,0.044773425970255146,0.044773425970255146
emi_amount,0.044534113621601513,0.044534113621601513
log_annual_income,0.032454635029502285,0.032454635029502285
annual_income,0.026985228178991166,0.026985228178991166
income_per_dependent,0.02100990187390983,0.02100990187390983
loan_amount,0.017931411905656298,0.017931411905656298
employment_type_Unemployed,0.015713424063681796,0.015713424063681796
loan_term_months,0.012937749391213879,0.012937749391213879
log_loan_amount,0.012284161077781583,0.012284161077781583
employment_stability_ratio,0.011582070623434191,0.011582070623434191
interest_to_principal_ratio,0.011247149457179759,0.011247149457179759
age,0.00841983253267843,0.00841983253267843
term_bucket,0.008386085982684924,0.008386085982684924
interest_rate,0.005003207774897069,0.005003207774897069
loan_type_Auto,0.004329041630177192,0.004329041630177192
total_exposure_to_income,0.004205418562015695,0.004205418562015695
age_group,0.004011580775691224,0.004011580775691224
credit_history_length_months,0.0037630684934330965,0.0037630684934330965
credit_utilization,0.0036833987850341684,0.0036833987850341684
rate_tier,0.002999023974010534,0.002999023974010534
delinquency_severity_score,0.002944450201199889,0.002944450201199889
total_accounts,0.0020485214748298193,0.0020485214748298193
loan_type_Personal,0.001339519486774874,0.001339519486774874
enquiry_velocity,0.001239381959615654,0.001239381959615654
is_secured,0.0011263250232878975,0.0011263250232878975
utilization_bucket,0.001040767491497175,0.001040767491497175
employment_type_Salaried,0.0009713100251085705,0.0009713100251085705
city_tier,0.0007587024924363601,0.0007587024924363601
active_accounts,0.0006926510858572852,0.0006926510858572852
overdue_30_count,0.0006917054369411415,0.0006917054369411415
employment_type_Freelance,0.0006661460427809437,0.0006661460427809437
active_account_ratio,0.0006337753255915898,0.0006337753255915898
enquiries_last_6m,0.0005043138451610103,0.0005043138451610103
total_loans,0.0004745629023000427,0.0004745629023000427
dependents,0.00027993610238864725,0.00027993610238864725
has_serious_delinquency,0.0002691410206295172,0.0002691410206295172
gender_Female,0.0002457023857775149,0.0002457023857775149
overdue_90_count,0.00023821644392465777,0.00023821644392465777
enquiries_last_6m_is_missing,0.0002240645792820051,0.0002240645792820051
loan_type_diversity,0.00022273473101831225,0.00022273473101831225
loan_type_Home,0.00022080472020713314,0.00022080472020713314
education,0.0002099236712697714,0.0002099236712697714
employment_type_Self-Employed,0.0002039970209736645,0.0002039970209736645
overdue_60_count,0.00019374731641025062,0.00019374731641025062
verification_score,0.00014707982061105726,0.00014707982061105726
marital_status_Married,0.00014204347364061266,0.00014204347364061266
gender_Male,0.00013960934510577757,0.00013960934510577757
loan_type_Education,0.00012578530355427926,0.00012578530355427926
loan_type_Credit Card,0.00010383127702385294,0.00010383127702385294
marital_status_Single,7.131956582323505e-05,7.131956582323505e-05
loan_type_Gold,5.445453845702202e-05,5.445453845702202e-05
enquiry_velocity_is_missing,4.092879661282074e-05,4.092879661282074e-05
credit_score_is_missing,3.251695977880615e-05,3.251695977880615e-05
education_is_missing,2.4215321737097902e-05,2.4215321737097902e-05
marital_status_Divorced,1.9679326419704955e-05,1.9679326419704955e-05
employment_type_Business,7.765288645450597e-06,7.765288645450597e-06
is_thin_file,0.0,0.0
gender_Other,0.0,0.0
interest_rate_is_missing,0.0,0.0
employment_stability_ratio_is_missing,0.0,0.0
marital_status_Widowed,0.0,0.0
