feature,importance,importance_normalized
loan_type_Business,0.20579633,0.20579633
term_bucket,0.100802265,0.100802265
dti_ratio,0.09181064,0.09181064
emi_to_income_ratio,0.082323305,0.082323305
credit_score_tier,0.043970667,0.043970667
credit_score,0.037532475,0.037532475
employment_type_Unemployed,0.021717442,0.021717442
emi_amount,0.020455549,0.020455549
annual_income,0.019916967,0.019916967
income_per_dependent,0.017109215,0.017109215
log_annual_income,0.015640607,0.015640607
loan_to_income_ratio,0.012394344,0.012394344
employment_stability_ratio,0.012261523,0.012261523
loan_amount,0.011078237,0.011078237
loan_term_months,0.0110172,0.0110172
log_loan_amount,0.010942166,0.010942166
age,0.010631982,0.010631982
age_group,0.010190183,0.010190183
employment_type_Freelance,0.009523005,0.009523005
interest_rate,0.008763761,0.008763761
credit_history_length_months,0.0087452885,0.0087452885
total_accounts,0.008501935,0.008501935
loan_type_Education,0.008064962,0.008064962
marital_status_Single,0.008006998,0.008006998
credit_utilization,0.007840143,0.007840143
interest_to_principal_ratio,0.0078063,0.0078063
delinquency_severity_score,0.0077873697,0.0077873697
employment_type_Salaried,0.0077660857,0.0077660857
rate_tier,0.0077637853,0.0077637853
employment_type_Self-Employed,0.0077627506,0.0077627506
gender_Male,0.0076773316,0.0076773316
enquiries_last_6m,0.0076650307,0.0076650307
active_account_ratio,0.0076198773,0.0076198773
marital_status_Divorced,0.007568208,0.007568208
has_serious_delinquency,0.007508293,0.007508293
overdue_30_count,0.0075028436,0.0075028436
enquiry_velocity,0.0074695395,0.0074695395
loan_type_Personal,0.0073629282,0.0073629282
active_accounts,0.007105431,0.007105431
total_exposure_to_income,0.006845378,0.006845378
credit_score_is_missing,0.0068387017,0.0068387017
loan_type_Gold,0.006750338,0.006750338
city_tier,0.0063514807,0.0063514807
enquiry_velocity_is_missing,0.0062020198,0.0062020198
education,0.0059149843,0.0059149843
loan_type_diversity,0.005900661,0.005900661
dependents,0.0058626314,0.0058626314
overdue_60_count,0.0057335137,0.0057335137
marital_status_Married,0.005657229,0.005657229
verification_score,0.0054316455,0.0054316455
gender_Female,0.005347166,0.005347166
utilization_bucket,0.004545487,0.004545487
overdue_90_count,0.0043499125,0.0043499125
loan_type_Home,0.0043055895,0.0043055895
loan_type_Credit Card,0.0042804577,0.0042804577
loan_type_Auto,0.004187664,0.004187664
total_loans,0.0040921555,0.0040921555
is_thin_file,0.0,0.0
is_secured,0.0,0.0
gender_Other,0.0,0.0
employment_stability_ratio_is_missing,0.0,0.0
enquiries_last_6m_is_missing,0.0,0.0
education_is_missing,0.0,0.0
interest_rate_is_missing,0.0,0.0
employment_type_Business,0.0,0.0
marital_status_Widowed,0.0,0.0
